ACC_var_age,TPR_var_age,TNR_var_age,FPR_var_age,FNR_var_age,NPP_var_age,PP_var_age,PPP_var_age
0.013355308333039308,0.022261498986478032,0.007667544049051973,0.007667544049051971,0.022261498986478032,0.006091453803382123,0.060105751588628124,0.010453647051475605
ACC_age,TPR_age,TNR_age,FPR_age,FNR_age,NPP_age,PP_age,PPP_age
0-2,10-19,20-29,3-9,30-39,40-49,50-59,60-69,more than 70
0.9847611202635914,0.4857142857142857,0.9920601755119097,0.007939824488090262,0.5142857142857142,0.9924749163879598,0.4722222222222222,0.014827018121911038
0.8035420098846787,0.29056603773584905,0.8663892741562644,0.13361072584373554,0.7094339622641509,0.9088263821532493,0.2103825136612022,0.15074135090609556
0.6503294892915981,0.4296875,0.7524096385542168,0.24759036144578314,0.5703125,0.7403675163011263,0.44534412955465585,0.30518945634266886
0.8912685337726524,0.5117845117845118,0.9441576724542469,0.05584232754575317,0.4882154882154882,0.9327770050996754,0.5608856088560885,0.11161449752883032
0.6911037891268533,0.376,0.7728215767634855,0.22717842323651452,0.624,0.8268590455049944,0.3003194888178914,0.257825370675453
0.8434925864909391,0.17114093959731544,0.9375586854460094,0.06244131455399061,0.8288590604026845,0.8899286987522281,0.27717391304347827,0.0757825370675453
0.8904448105436573,0.17159763313609466,0.9442231075697212,0.055776892430278883,0.8284023668639053,0.9384073911130665,0.1870967741935484,0.06383855024711697
0.9604612850082372,0.1323529411764706,0.9843220338983051,0.015677966101694914,0.8676470588235294,0.9752308984047019,0.1956521739130435,0.018945634266886325
0.9897034596375618,0.10714285714285714,1.0,0.0,0.8928571428571429,0.9896907216494846,1.0,0.0012355848434925864
ACC_var_gender,TPR_var_gender,TNR_var_gender,FPR_var_gender,FNR_var_gender,NPP_var_gender,PP_var_gender,PPP_var_gender
0.0,0.051019202353833976,0.051019202353833976,0.051019202353834,0.051019202353834,0.008459245612563785,0.008459245612563785,0.05491957502937992
ACC_gender,TPR_gender,TNR_gender,FPR_gender,FNR_gender,NPP_gender,PP_gender,PPP_gender
Female,Male
0.7005766062602965,0.4646551724137931,0.916403785488959,0.083596214511041,0.5353448275862069,0.6517106001121705,0.8356589147286821,0.2656507413509061
0.7005766062602965,0.916403785488959,0.4646551724137931,0.5353448275862069,0.083596214511041,0.8356589147286821,0.6517106001121705,0.734349258649094
ACC_var_race,TPR_var_race,TNR_var_race,FPR_var_race,FNR_var_race,NPP_var_race,PP_var_race,PPP_var_race
0.004844130395251447,0.04702125624260929,0.011351298912279009,0.011351298912279005,0.047021256242609284,0.0032656319566099594,0.0014141188787950812,0.01967650882483057
ACC_race,TPR_race,TNR_race,FPR_race,FNR_race,NPP_race,PP_race,PPP_race
Asian,Black,Indian,Others,White
0.7022240527182867,0.8211143695014663,0.6557846506300115,0.34421534936998854,0.17888563049853373,0.9037095501183899,0.48234280792420325,0.47817133443163096
0.8879736408566722,0.6485623003194888,0.9234042553191489,0.07659574468085106,0.3514376996805112,0.9466795928259816,0.5561643835616439,0.15032948929159803
0.8476112026359144,0.30994152046783624,0.9357622243528284,0.06423777564717162,0.6900584795321637,0.8921389396709324,0.44166666666666665,0.09884678747940692
0.7335255354200988,0.2711598746081505,0.8983240223463688,0.10167597765363129,0.7288401253918495,0.7756874095513748,0.48732394366197185,0.14621087314662273
0.8163097199341022,0.3465783664459161,0.9240506329113924,0.0759493670886076,0.6534216335540839,0.8604431871758604,0.511400651465798,0.12644151565074135
