ACC_var_age,TPR_var_age,TNR_var_age,FPR_var_age,FNR_var_age,NPP_var_age,PP_var_age,PPP_var_age
0.01865262673169602,0.02922340663846903,0.01665637446407911,0.01665637446407911,0.02922340663846903,0.007278277344753775,0.014021858550605492,0.018672785475879885
ACC_age,TPR_age,TNR_age,FPR_age,FNR_age,NPP_age,PP_age,PPP_age
0-2,10-19,20-29,3-9,30-39,40-49,50-59,60-69,more than 70
0.9526359143327842,0.42857142857142855,0.9603008775595487,0.03969912244045132,0.5714285714285714,0.99137187230371,0.13636363636363635,0.045304777594728174
0.8706754530477759,0.033962264150943396,0.9731853906611189,0.026814609338881183,0.9660377358490566,0.8915713680643795,0.13432835820895522,0.02759472817133443
0.621499176276771,0.3658854166666667,0.7397590361445783,0.26024096385542167,0.6341145833333334,0.7160349854227406,0.394109396914446,0.29365733113673803
0.8760296540362438,0.10101010101010101,0.9840450492726419,0.015954950727358048,0.898989898989899,0.8870558375634517,0.46875,0.026359143327841845
0.5844316309719935,0.456,0.6177385892116183,0.3822614107883817,0.544,0.8140806561859193,0.23626943005181347,0.3974464579901153
0.8620263591433278,0.040268456375838924,0.9769953051643192,0.023004694835680753,0.959731543624161,0.8791719476130122,0.19672131147540983,0.02512355848434926
0.8018945634266886,0.33727810650887574,0.8366533864541833,0.16334661354581673,0.6627218934911243,0.9440559440559441,0.13380281690140844,0.17545304777594728
0.9695222405271828,0.014705882352941176,0.9970338983050847,0.0029661016949152543,0.9852941176470589,0.9723140495867768,0.125,0.0032948929159802307
0.985996705107084,0.14285714285714285,0.9958333333333333,0.004166666666666667,0.8571428571428571,0.9900579950289975,0.2857142857142857,0.005766062602965404
ACC_var_gender,TPR_var_gender,TNR_var_gender,FPR_var_gender,FNR_var_gender,NPP_var_gender,PP_var_gender,PPP_var_gender
0.0,0.11550422956859863,0.11550422956859863,0.1155042295685986,0.1155042295685986,0.011824211910266764,0.011824211910266764,0.11855372113915358
ACC_gender,TPR_gender,TNR_gender,FPR_gender,FNR_gender,NPP_gender,PP_gender,PPP_gender
Female,Male
0.6153212520593081,0.2603448275862069,0.9400630914826499,0.05993690851735016,0.7396551724137931,0.5814634146341463,0.798941798941799,0.1556836902800659
0.6153212520593081,0.9400630914826499,0.2603448275862069,0.7396551724137931,0.05993690851735016,0.798941798941799,0.5814634146341463,0.8443163097199341
ACC_var_race,TPR_var_race,TNR_var_race,FPR_var_race,FNR_var_race,NPP_var_race,PP_var_race,PPP_var_race
0.0007236143943937976,0.061984607471340644,0.014025224935945041,0.014025224935945043,0.061984607471340644,0.006529844225041351,0.02146647794693708,0.016852101647717867
ACC_race,TPR_race,TNR_race,FPR_race,FNR_race,NPP_race,PP_race,PPP_race
Asian,Black,Indian,Others,White
0.7314662273476112,0.16422287390029325,0.9530355097365406,0.046964490263459335,0.8357771260997068,0.7448522829006267,0.5773195876288659,0.07990115321252059
0.735996705107084,0.7348242811501597,0.7361702127659574,0.26382978723404255,0.26517571884984026,0.949390243902439,0.2918781725888325,0.3245469522240527
0.6688632619439868,0.3742690058479532,0.7171620325982742,0.2828379674017258,0.6257309941520468,0.8748538011695907,0.17827298050139276,0.2957166392092257
0.7372322899505767,0.01567398119122257,0.994413407821229,0.00558659217877095,0.9843260188087775,0.739202657807309,0.5,0.008237232289950576
0.6981054365733114,0.47240618101545256,0.7498734177215189,0.250126582278481,0.5275938189845475,0.861046511627907,0.3022598870056497,0.2915980230642504
