ACC_var_age,TPR_var_age,TNR_var_age,FPR_var_age,FNR_var_age,NPP_var_age,PP_var_age,PPP_var_age
0.008126683607744163,0.025400819221859005,0.00838381075037504,0.008383810750375044,0.025400819221858998,0.003670020228996795,0.04202408952010174,0.012623814864948854
ACC_age,TPR_age,TNR_age,FPR_age,FNR_age,NPP_age,PP_age,PPP_age
0-2,10-19,20-29,3-9,30-39,40-49,50-59,60-69,more than 70
0.9431345353675451,0.29245283018867924,0.9947604790419161,0.005239520958083832,0.7075471698113207,0.9465811965811965,0.8157894736842105,0.026352288488210817
0.8366851595006934,0.38961038961038963,0.861904761904762,0.1380952380952381,0.6103896103896104,0.961585615038823,0.13729977116704806,0.1515256588072122
0.6532593619972261,0.5918141592920354,0.6813131313131313,0.3186868686868687,0.4081858407079646,0.7852153667054714,0.4588336192109777,0.4042995839112344
0.9039528432732317,0.4971751412429379,0.930550424824529,0.069449575175471,0.5028248587570622,0.9658742331288344,0.3188405797101449,0.0957004160887656
0.7604022191400832,0.17216117216117216,0.897775876817793,0.10222412318220701,0.8278388278388278,0.8228145825166602,0.2822822822822823,0.11546463245492372
0.8554091539528432,0.21484375,0.9178082191780822,0.0821917808219178,0.78515625,0.9230769230769231,0.2029520295202952,0.09396671289875173
0.8751733703190014,0.2413793103448276,0.9460292983808789,0.05397070161912105,0.7586206896551724,0.9177262528047868,0.3333333333333333,0.07281553398058252
0.9244105409153953,0.1206896551724138,0.9760147601476015,0.023985239852398525,0.8793103448275862,0.9453180843459614,0.2441860465116279,0.029819694868238558
0.9431345353675451,0.10526315789473684,0.9959454478437154,0.004054552156284556,0.8947368421052632,0.9464098073555166,0.6206896551724138,0.010055478502080445
ACC_var_gender,TPR_var_gender,TNR_var_gender,FPR_var_gender,FNR_var_gender,NPP_var_gender,PP_var_gender,PPP_var_gender
0.0,0.012600164213369795,0.012600164213369795,0.012600164213369791,0.012600164213369791,0.002931370446889011,0.002931370446889011,0.01447666209475589
ACC_gender,TPR_gender,TNR_gender,FPR_gender,FNR_gender,NPP_gender,PP_gender,PPP_gender
Female,Male
0.7739251040221914,0.6583273766976412,0.8828282828282829,0.11717171717171718,0.3416726233023588,0.732811626607043,0.8410958904109589,0.37968099861303745
0.7739251040221914,0.8828282828282829,0.6583273766976412,0.3416726233023588,0.11717171717171718,0.8410958904109589,0.732811626607043,0.6203190013869625
ACC_var_race,TPR_var_race,TNR_var_race,FPR_var_race,FNR_var_race,NPP_var_race,PP_var_race,PPP_var_race
0.003547882910351431,0.021332323869867068,0.007363928672015259,0.00736392867201526,0.02133232386986706,0.0037618353436829747,0.06963409441142818,0.01047625139225263
ACC_race,TPR_race,TNR_race,FPR_race,FNR_race,NPP_race,PP_race,PPP_race
Asian,Black,Indian,Others,White
0.8498613037447988,0.6235565819861432,0.8898408812729498,0.11015911872705018,0.37644341801385683,0.9304607508532423,0.5,0.18723994452149792
0.8737864077669902,0.3885819521178637,0.9863306279367792,0.013669372063220846,0.6114180478821363,0.8742900416508899,0.8683127572016461,0.08425797503467407
0.8148404993065187,0.2602739726027397,0.934260429835651,0.06573957016434892,0.7397260273972602,0.8543352601156069,0.4602076124567474,0.10020804438280166
0.7094313453536755,0.40384615384615385,0.7331838565022422,0.26681614349775784,0.5961538461538461,0.9405560882070949,0.10526315789473684,0.2766990291262136
0.7624826629680999,0.6383515559293524,0.8495575221238938,0.1504424778761062,0.3616484440706476,0.7700534759358288,0.7485207100591716,0.35159500693481277
