ACC_var_age,TPR_var_age,TNR_var_age,FPR_var_age,FNR_var_age,NPP_var_age,PP_var_age,PPP_var_age
0.027508286803246,0.04901817632459435,0.032679885006334626,0.03267988500633462,0.04901817632459435,0.007393873515742428,nan,0.036139860149414484
ACC_age,TPR_age,TNR_age,FPR_age,FNR_age,NPP_age,PP_age,PPP_age
0-2,10-19,20-29,3-9,30-39,40-49,50-59,60-69,more than 70
0.9870775347912525,0.0,1.0,0.0,1.0,0.9870775347912525,nan,0.0
0.8782306163021869,0.004291845493562232,0.9926925238898258,0.007307476110174255,0.9957081545064378,0.8838838838838838,0.07142857142857142,0.006958250497017893
0.5790258449304175,0.41512345679012347,0.656891495601173,0.34310850439882695,0.5848765432098766,0.7027450980392157,0.3649932157394844,0.3663021868787276
0.8812127236580517,0.0,1.0,0.0,1.0,0.8812127236580517,nan,0.0
0.51441351888668,0.6372093023255814,0.48103666245259163,0.5189633375474083,0.3627906976744186,0.8298800436205016,0.2502283105022831,0.544234592445328
0.8613320079522863,0.23043478260869565,0.9427609427609428,0.05723905723905724,0.7695652173913043,0.9046849757673667,0.3419354838709677,0.07703777335984095
0.9358846918489065,0.023622047244094488,0.9973474801061007,0.002652519893899204,0.9763779527559056,0.93812375249501,0.375,0.003976143141153081
0.9701789264413518,0.0,0.99846547314578,0.001534526854219949,1.0,0.971627675460428,0.0,0.0014910536779324055
0.989065606361829,0.0,1.0,0.0,1.0,0.989065606361829,nan,0.0
ACC_var_gender,TPR_var_gender,TNR_var_gender,FPR_var_gender,FNR_var_gender,NPP_var_gender,PP_var_gender,PPP_var_gender
0.0,0.0712125087378847,0.0712125087378847,0.07121250873788472,0.07121250873788472,0.015811522591703764,0.015811522591703764,0.07445412020916253
ACC_gender,TPR_gender,TNR_gender,FPR_gender,FNR_gender,NPP_gender,PP_gender,PPP_gender
Female,Male
0.6918489065606361,0.41623843782117165,0.9499518768046198,0.05004812319538017,0.5837615621788284,0.6347266881028939,0.8862144420131292,0.2271371769383698
0.6918489065606361,0.9499518768046198,0.41623843782117165,0.5837615621788284,0.05004812319538017,0.8862144420131292,0.6347266881028939,0.7728628230616302
ACC_var_race,TPR_var_race,TNR_var_race,FPR_var_race,FNR_var_race,NPP_var_race,PP_var_race,PPP_var_race
0.0017420877869518037,0.03088301181798209,0.001884550671799045,0.0018845506717990457,0.03088301181798209,0.0007292774682931578,0.013662780273659069,0.006743886141951034
ACC_race,TPR_race,TNR_race,FPR_race,FNR_race,NPP_race,PP_race,PPP_race
Asian,Black,Indian,Latino Hispanic,Middle Eastern,White
0.8623260437375746,0.784070796460177,0.8928818244644091,0.10711817553559087,0.215929203539823,0.9137199434229137,0.7408026755852842,0.29721669980119286
0.9269383697813122,0.7476635514018691,0.9482758620689655,0.05172413793103448,0.2523364485981308,0.969300739056282,0.6324110671936759,0.1257455268389662
0.8841948310139165,0.3620689655172414,0.9721254355400697,0.027874564459930314,0.6379310344827587,0.900484131253362,0.6862745098039216,0.07604373757455268
0.8190854870775348,0.37770897832817335,0.9034931912374186,0.09650680876258141,0.6222910216718266,0.8836132020845396,0.4280701754385965,0.14165009940357853
0.8832007952286283,0.4253393665158371,0.9396984924623115,0.06030150753768844,0.5746606334841629,0.9298342541436464,0.46534653465346537,0.10039761431411531
0.8031809145129225,0.656641604010025,0.8394296342219467,0.1605703657780533,0.3433583959899749,0.9081153588195842,0.5028790786948176,0.25894632206759444
