model,dataset,label,fairness_def,var
Lightface,Fairface,race,NPP_var,0.0007292774682931578
Lightface,Fairface,race,PP_var,0.013662780273659069
Lightface,Fairface,race,PPP_var,0.006743886141951034
Lightface,UTKFace,age,ACC_var,0.021136973840203035
Lightface,UTKFace,age,TPR_var,0.0508655926754719
Lightface,UTKFace,age,TNR_var,0.027259760452685827
Lightface,UTKFace,age,FPR_var,0.027259760452685824
Lightface,UTKFace,age,FNR_var,0.05086559267547191
Lightface,UTKFace,age,NPP_var,0.004175748561213601
Lightface,UTKFace,age,PP_var,nan
Lightface,UTKFace,age,PPP_var,0.03212176790810359
Lightface,UTKFace,gender,ACC_var,0.0
Lightface,UTKFace,gender,TPR_var,0.0276997420242506
Lightface,UTKFace,gender,TNR_var,0.0276997420242506
Lightface,UTKFace,gender,FPR_var,0.027699742024250597
Lightface,UTKFace,gender,FNR_var,0.027699742024250597
Lightface,UTKFace,gender,NPP_var,0.008578397171413552
Lightface,UTKFace,gender,PP_var,0.008578397171413552
Lightface,UTKFace,gender,PPP_var,0.02975822071046521
Lightface,UTKFace,race,ACC_var,0.0024944764087985343
Lightface,UTKFace,race,TPR_var,0.037439581704457325
Lightface,UTKFace,race,TNR_var,0.006119857535634754
Lightface,UTKFace,race,FPR_var,0.00611985753563476
Lightface,UTKFace,race,FNR_var,0.037439581704457325
Lightface,UTKFace,race,NPP_var,0.002474571319486214
Lightface,UTKFace,race,PP_var,0.07674529299134088
Lightface,UTKFace,race,PPP_var,0.016516735509745244
FAR,FaceARG,age,ACC_var,0.040397963064154066
FAR,FaceARG,age,TPR_var,0.13701579198243907
FAR,FaceARG,age,TNR_var,0.13381535792903673
FAR,FaceARG,age,FPR_var,0.1338153579290368
FAR,FaceARG,age,FNR_var,0.13701579198243904
FAR,FaceARG,age,NPP_var,0.021226865135389315
FAR,FaceARG,age,PP_var,0.03440550622389145
FAR,FaceARG,age,PPP_var,0.13528369232927695
FAR,FaceARG,gender,ACC_var,0.0
FAR,FaceARG,gender,TPR_var,0.17907562462166443
FAR,FaceARG,gender,TNR_var,0.17907562462166443
FAR,FaceARG,gender,FPR_var,0.1790756246216645
FAR,FaceARG,gender,FNR_var,0.1790756246216645
FAR,FaceARG,gender,NPP_var,0.046830198842591916
FAR,FaceARG,gender,PP_var,0.046830198842591916
FAR,FaceARG,gender,PPP_var,0.17201080033819705
FAR,FaceARG,race,ACC_var,0.04044732885234523
FAR,FaceARG,race,TPR_var,0.16047312617594295
FAR,FaceARG,race,TNR_var,0.16011950328809912
FAR,FaceARG,race,FPR_var,0.16011950328809912
FAR,FaceARG,race,FNR_var,0.16047312617594295
FAR,FaceARG,race,NPP_var,0.0008689113776641192
FAR,FaceARG,race,PP_var,0.048120079898708895
FAR,FaceARG,race,PPP_var,0.1602529947608991
FAR,Fairface,age,ACC_var,0.028009523163355966
FAR,Fairface,age,TPR_var,0.07844349809919374
FAR,Fairface,age,TNR_var,0.07444926175465863
FAR,Fairface,age,FPR_var,0.07444926175465862
FAR,Fairface,age,FNR_var,0.07844349809919371
FAR,Fairface,age,NPP_var,0.005389014868964004
FAR,Fairface,age,PP_var,0.005077718252980671
FAR,Fairface,age,PPP_var,0.07574852931009281
FAR,Fairface,gender,ACC_var,0.0
FAR,Fairface,gender,TPR_var,0.10169172102996366
FAR,Fairface,gender,TNR_var,0.10169172102996366
FAR,Fairface,gender,FPR_var,0.10169172102996368
FAR,Fairface,gender,FNR_var,0.10169172102996368
FAR,Fairface,gender,NPP_var,0.000003.41057434277385
FAR,Fairface,gender,PP_var,0.00000341057434277385
FAR,Fairface,gender,PPP_var,0.10301239419759385
FAR,Fairface,race,ACC_var,0.03348329466699235
FAR,Fairface,race,TPR_var,0.07039549725502849
FAR,Fairface,race,TNR_var,0.071306741924123
FAR,Fairface,race,FPR_var,0.071306741924123
FAR,Fairface,race,FNR_var,0.07039549725502849
FAR,Fairface,race,NPP_var,0.0029453296937682165
FAR,Fairface,race,PP_var,0.09478601055048201
