ACC_var_age,TPR_var_age,TNR_var_age,FPR_var_age,FNR_var_age,NPP_var_age,PP_var_age,PPP_var_age
0.03842299301064732,0.10742917823588846,0.12005522583440634,0.12005522583440634,0.10742917823588849,0.009296661910566235,0.007317891895888244,0.11618049762200262
ACC_age,TPR_age,TNR_age,FPR_age,FNR_age,NPP_age,PP_age,PPP_age
20-29,30-39,40-49,50+,below 20
0.3361552028218695,0.8493150684931506,0.1066870852475753,0.8933129147524247,0.1506849315068493,0.6129032258064516,0.2983159582999198,0.8797178130511464
0.7654320987654321,0.08639705882352941,0.926669576604103,0.07333042339589699,0.9136029411764706,0.8103053435114503,0.2186046511627907,0.07583774250440917
0.9065255731922398,0.007722007722007722,0.9968944099378882,0.003105590062111801,0.9922779922779923,0.9090265486725664,0.2,0.003527336860670194
0.7760141093474426,0.011093502377179081,0.9950090744101633,0.004990925589836661,0.9889064976228209,0.7784877529286475,0.3888888888888889,0.006349206349206349
0.7901234567901234,0.02666666666666667,0.9636363636363636,0.03636363636363636,0.9733333333333334,0.8132992327365729,0.14285714285714285,0.0345679012345679
ACC_var_gender,TPR_var_gender,TNR_var_gender,FPR_var_gender,FNR_var_gender,NPP_var_gender,PP_var_gender,PPP_var_gender
0.0,0.16737743565918822,0.16737743565918822,0.16737743565918822,0.16737743565918822,0.00426242862970913,0.00426242862970913,0.16814338904285991
ACC_gender,TPR_gender,TNR_gender,FPR_gender,FNR_gender,NPP_gender,PP_gender,PPP_gender
Female,Male
0.5439153439153439,0.12281976744186046,0.9410555174777244,0.05894448252227553,0.8771802325581395,0.5321705426356589,0.6627450980392157,0.08994708994708994
0.5439153439153439,0.9410555174777244,0.12281976744186046,0.8771802325581395,0.05894448252227553,0.6627450980392157,0.5321705426356589,0.91005291005291
ACC_var_race,TPR_var_race,TNR_var_race,FPR_var_race,FNR_var_race,NPP_var_race,PP_var_race,PPP_var_race
0.023584289353601517,0.12076638090589628,0.10562581160118925,0.10562581160118927,0.12076638090589628,0.004671714271797127,0.023879714827129663,0.11257283452933069
ACC_race,TPR_race,TNR_race,FPR_race,FNR_race,NPP_race,PP_race,PPP_race
Asian,Black,Indian,Others,White
0.8275132275132275,0.01650943396226415,0.9701368726669432,0.02986312733305682,0.9834905660377359,0.8486937590711175,0.08860759493670886,0.027865961199294534
0.8116402116402116,0.03598484848484849,0.9891634156913741,0.010836584308625921,0.9640151515151515,0.8176280902902185,0.4318181818181818,0.015520282186948854
0.7897707231040564,0.142,0.9284796573875803,0.0715203426124197,0.858,0.8348093954562957,0.29831932773109243,0.08395061728395062
0.9248677248677248,0.004901960784313725,0.9961991638160396,0.003800836183960471,0.9950980392156863,0.9281161473087819,0.09090909090909091,0.0038800705467372134
0.472310405643739,0.9100932994062765,0.1606280193236715,0.8393719806763285,0.0899067005937235,0.7150537634408602,0.4356475842468534,0.8687830687830688
