ACC_var_age,TPR_var_age,TNR_var_age,FPR_var_age,FNR_var_age,NPP_var_age,PP_var_age,PPP_var_age
0.028009523163355966,0.07844349809919374,0.07444926175465863,0.07444926175465862,0.07844349809919371,0.005389014868964004,0.005077718252980671,0.07574852931009281
ACC_age,TPR_age,TNR_age,FPR_age,FNR_age,NPP_age,PP_age,PPP_age
20-29,30-39,40-49,50+,below 20
0.4211160176635889,0.7461734693877551,0.27182190978324544,0.7281780902167545,0.2538265306122449,0.6998491704374057,0.3200218818380744,0.7338418305901244
0.6936973103171417,0.22265625,0.8155634158665993,0.1844365841334007,0.77734375,0.8021868787276342,0.23799582463465555,0.19229225210758732
0.8755519871537535,0.006802721088435374,0.9918070095584889,0.008192990441511151,0.9931972789115646,0.8818292189397006,0.1,0.008028904054596548
0.8807707747892413,0.02120141342756184,0.9909420289855072,0.009057971014492754,0.9787985865724381,0.8876267748478702,0.23076923076923078,0.010437575270975512
0.7181854676836612,0.043689320388349516,0.9407367859049653,0.059263214095034704,0.9563106796116505,0.7488312792180195,0.1956521739130435,0.055399437976716176
ACC_var_gender,TPR_var_gender,TNR_var_gender,FPR_var_gender,FNR_var_gender,NPP_var_gender,PP_var_gender,PPP_var_gender
0.0,0.10169172102996366,0.10169172102996366,0.10169172102996368,0.10169172102996368,3.41057434277385e-05,3.41057434277385e-05,0.10301239419759385
ACC_gender,TPR_gender,TNR_gender,FPR_gender,FNR_gender,NPP_gender,PP_gender,PPP_gender
Female,Male
0.5531914893617021,0.21471343028229256,0.8524962178517398,0.1475037821482602,0.7852865697177075,0.5511002444987775,0.5627802690582959,0.17904456041750302
0.5531914893617021,0.8524962178517398,0.21471343028229256,0.7852865697177075,0.1475037821482602,0.5627802690582959,0.5511002444987775,0.820955439582497
ACC_var_race,TPR_var_race,TNR_var_race,FPR_var_race,FNR_var_race,NPP_var_race,PP_var_race,PPP_var_race
0.03348329466699235,0.07039549725502849,0.071306741924123,0.071306741924123,0.07039549725502849,0.0029453296937682165,0.09478601055048201,0.07119479539787188
ACC_race,TPR_race,TNR_race,FPR_race,FNR_race,NPP_race,PP_race,PPP_race
Asian,Black,Indian,Latino Hispanic,Middle Eastern,White
0.709353673223605,0.048672566371681415,0.9564258135686707,0.043574186431329286,0.9513274336283186,0.7288776796973518,0.29464285714285715,0.044961862705740666
0.8526696105981534,0.0673076923076923,0.9651216154199174,0.034878384580082605,0.9326923076923077,0.8784461152882206,0.21649484536082475,0.03894018466479326
0.751103974307507,0.17174515235457063,0.8492957746478873,0.15070422535211267,0.8282548476454293,0.8581593927893738,0.1618798955613577,0.1537535126455239
0.83701324769169,0.00516795865633075,0.9900190114068441,0.009980988593155894,0.9948320413436692,0.8440032414910859,0.08695652173913043,0.00923323966278603
0.8916097952629466,0.0036900369003690036,1.0,0.0,0.996309963099631,0.891566265060241,1.0,0.0004014452027298274
0.3460457647531112,0.7551867219917012,0.24788451966152314,0.7521154803384769,0.24481327800829875,0.8084415584415584,0.19413333333333332,0.7527097551184263
